No,業務,カテゴリ,内容,対応
1,全体,要望,業務改善をSFと一緒に考えてほしい,承知しました。
2,全体,要望,kintoneのデモアカウントが欲しい,
3,業務日誌,問題点,バッチが止まると（翌日まで）見られなくなる,検知を入れる？
4,業務日誌,問題点,バッチ実行（夜間自動）後でないと提出状況がわからず、リアルタイム性がない,バッチをやめる？
5,業務日誌,問題点,会社スペースでないとやったかどうか確認できない（リアルタイム性が無いため）,収集するものを使う
6,業務日誌,問題点,更新日時が全て更新されてしまうため、更新日時だけではいつの業務日誌か判断できない,
7,業務日誌,問題点,集計結果が全体になっており、クラス・会社ごとにデータを取得するのが面倒,分類ごとに収集する仕組み（マスタ）を使う
8,業務日誌,問題点,未実施者の対応結果が即時反映されないため、ラグが発生する,バッチをやめる？
9,業務日誌,要望,ツールありきの部分／人が介在している部分を見直し、内容を精査したい,承知しました。
10,業務日誌,要望,集計結果をkintoneで見られるようにしたい,"Teamsやkintoneにプッシュする？
専用アプリに毎日の結果をプッシュする？"
11,業務日誌,その他,集計結果を個別に渡しており、複数人になると問題が発生する可能性がある,Teamsやkintoneにプッシュする？
12,業務日誌,その他,kintoneのAI機能を使い、レコード分析で「未実施の人」を抽出できないか検討したい,調査を一緒に行う
13,パルスサーベイ,問題点,実施結果が全体になっており、クラス・会社ごとにデータを取得するのが面倒,業務日誌と同様の対応
14,パルスサーベイ,要望,ツールありきの部分／人が介在している部分を見直し、内容を精査したい,業務日誌と同様の対応
15,パルスサーベイ,要望,集計結果をkintoneで見られるようにしたい,業務日誌と同様の対応
16,パルスサーベイ,その他,集計結果を個別に渡しており、複数人になると問題が発生する可能性がある,業務日誌と同様の対応
17,パルスサーベイ,その他,kintoneのAI機能を使い、レコード分析で「未実施の人」を抽出できないか検討したい,業務日誌と同様の対応
18,アンケート,問題点,クラス数分ダウンロードしてまとめる作業が面倒（値のコピー等が発生するため、人為的ミスが発生する可能性がある）,ギブリー様と調整後に検討する
19,アンケート,問題点,未実施者を探すことはできるが、わかりにくい,ギブリー様と調整後に検討する
20,アンケート,問題点,過去データが提出用レポートにしか存在しないかもしれない,ギブリー様と調整後に検討する
21,アンケート,要望,いろいろな単位（全体・会社・クラス・事前アセスメント）で集計結果を見たい,ギブリー様と調整後に検討する
22,アンケート,要望,業務日誌と同一の運用方法に統一したい（受講生への通知など）※基本的には運営サポートがやる方が好ましい,"運用から見直す。
基本的には「運用サポート」→「受講生」の方式で通知"
23,アンケート,要望,別ツール（他の報告用のツール）とできたら統合したい,ギブリー様と調整後に検討する
24,アンケート,要望,現在のツールをもっと使いやすくしたい,ギブリー様と調整後に検討する
25,修了判定テスト,問題点,クラス数分ダウンロードしてまとめる作業が面倒（値のコピー等が発生するため、人為的ミスが発生する可能性がある）,アンケートと同様の対応
26,修了判定テスト,問題点,未実施者、再テスト対象者を探すことはできるが、わかりにくい,アンケートと同様の対応
27,修了判定テスト,問題点,未実施・再テストの人がいた場合の連絡方法が運用として明確化されていない,アンケートと同様の対応
28,修了判定テスト,問題点,過去データが提出用レポートにしか存在しない,アンケートと同様の対応
29,修了判定テスト,要望,いろいろな単位（全体・会社・クラス・事前アセスメント）で集計結果を見たい,アンケートと同様の対応
30,修了判定テスト,要望,業務日誌と同一の運用方法に統一したい（受講生への通知など）※基本的には運営サポートがやる方が好ましい,アンケートと同様の対応
31,修了判定テスト,要望,現在のツールをもっと使いやすくしたい,アンケートと同様の対応
32,修了判定テスト,その他,アンケートとの違いは再テストが発生するかどうか,
33,勤怠,問題点,連絡先がkintoneアプリとスレッドの2系統に分かれており、二重運用になっている,一旦保留
34,勤怠,問題点,登録時にローカルルールが存在し、運用が統一されていない,運用から見直す。
35,勤怠,問題点,電話当番（欠席連絡の電話応対）の負担が大きい,"SMSと電話の併用が良い。
基本はSMS"
36,勤怠,問題点,電話連絡だと難しい状態（電車内など）がある,SMSで対応
37,勤怠,要望,電話とSMS（電話以外）の併用をしたい。SMSでやりにくい内容のみ電話で受けたい,SMSと電話の併用が良い。
38,勤怠,その他,数分の遅刻などグレーゾーンの判断が発生している,運用から見直す。
39,勤怠,その他,kintoneやFormsの方がみんなで見られて良いのではないか,受講生の端末にアプリのインストールは難しい
40,勤怠,その他,SMSと電話を併用する運用が望ましい,承知しました。
41,kintone構築,問題点,アプリやユーザーの登録を手で実施しているため、登録や大変（作成時にIDが付与されるため完全自動化は難しいかもしれない。更新は自動化できそう）,どの部分が自動化できるか精査し、対応箇所を検討する
42,kintone構築,問題点,教材配備をSharePointで実施しているが、かなり苦労している（繰り返しの作業が多い）,どの部分が自動化できるか精査し、対応箇所を検討する
43,kintone構築,問題点,作成結果の確認が大変,自動テストを作成する
44,kintone構築,その他,教材配備の作業担当者は明確化しておらず、できる人がやっている,
45,Track構築,問題点,マスタ作成（ベースのクラス）が大変,
46,Track構築,問題点,クラスの作成が大変,
47,Track構築,問題点,作成結果の確認が大変,自動テストを作成する？
48,Track構築,その他,ギブリー様と打ち合わせをする,承知しました。
49,教材準備,問題点,Track用資材（コンテンツやテスト登録）の作成が大変,どの部分が自動化できるか精査し、対応箇所を検討する
50,教材準備,問題点,作成結果の確認が大変,自動テストを作成する？
51,教材準備,その他,形式的な作業なので、自動化できる可能性が高い,承知しました。
52,教材準備,その他,ギブリー様と打ち合わせをする,承知しました。
